type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-10-21 16:27:56,51.52365735,0.13337592,9.94,45.101,,12.380,111,21,41,,
T,2025-10-21 16:27:57,51.52362554,0.13353723,9.94,45.075,,12.160,108,21,41,,
T,2025-10-21 16:27:58,51.52359568,0.13370121,9.94,44.830,,12.370,107,21,41,,
T,2025-10-21 16:27:59,51.52356364,0.13387073,9.94,44.969,,12.280,107,22,41,,
T,2025-10-21 16:28:00,51.52352439,0.13403256,9.94,45.234,,12.390,107,22,41,,
T,2025-10-21 16:28:01,51.52349569,0.13419779,9.94,45.665,,12.020,106,23,41,,
T,2025-10-21 16:28:02,51.52346372,0.13435782,9.94,45.832,,11.630,106,21,41,,
T,2025-10-21 16:28:03,51.52343135,0.13451989,9.94,45.505,,11.430,107,21,41,,
T,2025-10-21 16:28:04,51.52340448,0.13466997,9.94,45.340,,10.940,106,22,41,,
T,2025-10-21 16:28:05,51.52337918,0.13481479,9.94,45.615,,10.430,106,23,41,,
T,2025-10-21 16:28:06,51.52335365,0.13496357,9.94,45.249,,10.430,106,23,41,,
T,2025-10-21 16:28:07,51.52333093,0.13511433,9.94,45.225,,10.710,106,23,41,,
T,2025-10-21 16:28:08,51.52330364,0.13526411,9.94,45.487,,10.770,105,23,41,,
T,2025-10-21 16:28:09,51.52327763,0.13541672,9.94,45.461,,10.860,104,23,41,,
T,2025-10-21 16:28:10,51.52325565,0.13556693,9.94,45.271,,10.900,104,22,41,,
T,2025-10-21 16:28:11,51.52323278,0.13571702,9.94,45.343,,11.120,104,22,41,,
T,2025-10-21 16:28:12,51.52321365,0.13587050,9.94,45.358,,11.270,103,20,41,,
T,2025-10-21 16:28:13,51.52319228,0.13602623,9.94,44.731,,11.330,103,21,41,,
T,2025-10-21 16:28:14,51.52317060,0.13618210,9.94,44.763,,11.100,102,20,41,,
T,2025-10-21 16:28:15,51.52314920,0.13633765,9.94,44.581,,10.950,102,20,41,,
T,2025-10-21 16:28:16,51.52312839,0.13649769,9.94,44.493,,11.230,102,21,41,,
T,2025-10-21 16:28:17,51.52310870,0.13665444,9.94,44.530,,11.210,101,21,41,,
T,2025-10-21 16:28:18,51.52308966,0.13681600,9.94,44.678,,11.240,101,18,41,,
T,2025-10-21 16:28:19,51.52306975,0.13697317,9.94,44.361,,10.960,101,19,41,,
T,2025-10-21 16:28:20,51.52305117,0.13712289,9.94,44.681,,10.820,102,17,41,,
T,2025-10-21 16:28:21,51.52302747,0.13728104,9.94,44.706,,10.500,103,19,41,,
T,2025-10-21 16:28:22,51.52300705,0.13742719,9.94,43.510,,10.280,104,20,41,,
T,2025-10-21 16:28:23,51.52298581,0.13756734,9.94,43.278,,10.520,104,21,41,,
T,2025-10-21 16:28:24,51.52296447,0.13772760,9.94,42.519,,10.460,103,23,41,,
T,2025-10-21 16:28:25,51.52294291,0.13788050,9.97,42.225,,10.810,103,23,41,,
T,2025-10-21 16:28:26,51.52291745,0.13803249,9.96,42.603,,11.190,104,23,41,,
T,2025-10-21 16:28:27,51.52289167,0.13818930,9.99,42.139,,11.100,105,23,41,,
T,2025-10-21 16:28:28,51.52286841,0.13833655,10.04,42.254,,11.090,105,21,41,,
T,2025-10-21 16:28:29,51.52284830,0.13849080,10.03,41.652,,10.730,103,21,41,,
T,2025-10-21 16:28:30,51.52283035,0.13864044,10.04,41.557,,10.390,100,20,41,,
T,2025-10-21 16:28:31,51.52281124,0.13878224,10.01,41.322,,10.130,101,22,41,,
T,2025-10-21 16:28:32,51.52279725,0.13892026,10.01,41.449,,9.820,102,21,39,,
T,2025-10-21 16:28:33,51.52278785,0.13905051,10.02,41.142,,8.750,102,21,39,,
T,2025-10-21 16:28:34,51.52277427,0.13917304,10.03,41.323,,7.900,101,21,39,,
T,2025-10-21 16:28:35,51.52276077,0.13928600,9.97,41.572,,7.640,99,19,39,,
T,2025-10-21 16:28:36,51.52275697,0.13939692,9.94,41.934,,7.270,95,19,39,,
T,2025-10-21 16:28:37,51.52274927,0.13948827,9.94,41.362,,5.350,88,19,39,,
T,2025-10-21 16:28:38,51.52275313,0.13955498,9.94,41.547,,4.090,81,19,39,,
T,2025-10-21 16:28:39,51.52275650,0.13960430,9.94,40.961,,2.490,76,20,39,,
T,2025-10-21 16:28:40,51.52276008,0.13961541,9.94,40.939,,0.460,81,21,39,,
T,2025-10-21 16:28:41,51.52276115,0.13962804,9.94,41.251,,0.780,81,21,39,,
T,2025-10-21 16:28:42,51.52276279,0.13964136,9.94,40.857,,0.820,81,20,39,,
T,2025-10-21 16:28:43,51.52276695,0.13967657,9.94,41.138,,2.900,76,20,39,,
T,2025-10-21 16:28:44,51.52277843,0.13973515,10.00,41.235,,4.900,71,19,39,,
T,2025-10-21 16:28:45,51.52280933,0.13978503,9.94,40.592,,6.480,55,19,39,,
T,2025-10-21 16:28:46,51.52283603,0.13983655,9.94,40.234,,5.790,41,19,39,,
T,2025-10-21 16:28:47,51.52288019,0.13988252,9.94,40.734,,6.330,27,19,39,,
T,2025-10-21 16:28:48,51.52293980,0.13991706,9.94,40.522,,7.210,15,20,39,,
T,2025-10-21 16:28:49,51.52300683,0.13993575,9.94,40.929,,8.920,4,20,39,,
T,2025-10-21 16:28:50,51.52308829,0.13996056,9.94,41.057,,10.020,9,21,39,,
T,2025-10-21 16:28:51,51.52318244,0.13998929,9.94,40.600,,11.160,11,20,39,,
T,2025-10-21 16:28:52,51.52329218,0.14001956,9.94,40.675,,13.430,9,20,39,,
T,2025-10-21 16:28:53,51.52339695,0.14004471,9.94,40.847,,11.710,10,22,39,,
T,2025-10-21 16:28:54,51.52351122,0.14007337,10.17,40.882,,12.790,9,21,39,,
T,2025-10-21 16:28:55,51.52361891,0.14010814,10.64,41.031,,12.360,11,20,39,,
T,2025-10-21 16:28:56,51.52372482,0.14013593,10.98,41.378,,12.300,11,20,39,,
T,2025-10-21 16:28:57,51.52383566,0.14015891,10.86,41.223,,12.150,9,20,39,,
T,2025-10-21 16:28:58,51.52394286,0.14018370,11.05,41.400,,12.030,9,19,39,,
T,2025-10-21 16:28:59,51.52406599,0.14020973,11.27,41.131,,13.120,8,14,39,,
T,2025-10-21 16:29:00,51.52415062,0.14023689,11.52,41.148,,10.950,10,14,39,,
T,2025-10-21 16:29:01,51.52427761,0.14027629,11.45,41.253,,13.760,13,14,39,,
T,2025-10-21 16:29:02,51.52442611,0.14030950,10.62,41.987,,14.580,7,17,39,,
T,2025-10-21 16:29:03,51.52454810,0.14036004,10.39,41.042,,14.300,10,20,39,,
T,2025-10-21 16:29:04,51.52467366,0.14039259,10.30,40.776,,14.780,9,21,39,,
T,2025-10-21 16:29:05,51.52481027,0.14042429,10.00,44.550,,14.680,9,24,39,,
T,2025-10-21 16:29:06,51.52494669,0.14045971,9.94,44.637,,15.550,9,24,39,,
T,2025-10-21 16:29:07,51.52508489,0.14049269,10.02,45.620,,15.870,9,24,39,,
T,2025-10-21 16:29:08,51.52523194,0.14052427,10.00,46.554,,15.770,10,24,39,,
T,2025-10-21 16:29:09,51.52537427,0.14056929,9.94,48.163,,15.950,12,24,39,,
T,2025-10-21 16:29:10,51.52551251,0.14061829,3.79,48.739,,15.530,16,24,39,,
T,2025-10-21 16:29:11,51.52563965,0.14067315,3.79,47.935,,15.110,16,23,39,,
T,2025-10-21 16:29:12,51.52576925,0.14073542,3.79,48.772,,14.610,17,24,39,,
T,2025-10-21 16:29:13,51.52589596,0.14079461,3.79,49.445,,14.510,16,24,39,,
T,2025-10-21 16:29:14,51.52602718,0.14084344,3.79,50.228,,14.810,14,24,39,,
T,2025-10-21 16:29:15,51.52615898,0.14089346,3.79,50.853,,15.220,14,24,39,,
T,2025-10-21 16:29:16,51.52629007,0.14094805,3.79,51.267,,14.740,14,24,39,,
T,2025-10-21 16:29:17,51.52641752,0.14099001,3.79,51.714,,14.200,13,24,39,,
T,2025-10-21 16:29:18,51.52653971,0.14102375,3.79,52.162,,13.630,11,24,39,,
T,2025-10-21 16:29:19,51.52665553,0.14105971,3.79,52.568,,13.210,10,24,39,,
T,2025-10-21 16:29:20,51.52677583,0.14108972,3.79,52.514,,13.400,8,24,39,,
T,2025-10-21 16:29:21,51.52690046,0.14111267,3.79,52.464,,13.780,7,24,39,,
T,2025-10-21 16:29:22,51.52702464,0.14113048,3.79,52.343,,13.780,6,24,39,,
T,2025-10-21 16:29:23,51.52714943,0.14115935,3.79,52.317,,13.870,6,24,39,,
T,2025-10-21 16:29:24,51.52727387,0.14117473,3.79,51.924,,13.620,5,24,39,,
T,2025-10-21 16:29:25,51.52739502,0.14118599,3.79,51.677,,13.570,2,24,39,,
T,2025-10-21 16:29:26,51.52752021,0.14118001,3.79,51.304,,13.730,358,24,39,,
